job_title,job_category,job_type,career_level,posted_date,industries,qualifications,summary,job_description,years_experience,education,hard_skills,soft_skills,skill_count,all_skills,job_url,company_name,company_url,location
showroom receptionist,Administrative,Full-time,Entry level,1 week ago,Motor Vehicle Manufacturing,bachelor's degree fluent in english ability to maintain a positive attitude,, bachelor's degree fluent in english ability to maintain a positive attitude,0,bachelor,['english'],['positive attitude'],2,"['english', 'positive attitude']",https://www.linkedin.com/jobs/view/showroom-receptionist-at-al-mansour-automotive-4317669326?skipRedirect=true&locale=en_US,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_topcard-org-name,"El Sheikh Zaid, Al Jizah, Egypt"
admin assistant,Administrative,Full-time,Entry level,2 weeks ago,Hospitality,,"25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position summary enter and retrieve information contained in computer databases using a keyboard, mouse, or trackball to update records, files, reservations, and answer inquiries from guests. transmit information or documents using a computer, mail, or facsimile machine. operate standard office equipment other than computers. prepare letters, memos, and other documents using word processing, spreadsheet, database, or presentation software. handle incoming and outgoing mail, including date stamping and distributing incoming mail. create and maintain computer and paper based filing and organization systems for records, reports, documents, etc. compile, copy, sort, and file records of office activities, business transactions, and other activities. enter and locate work related information using computers and/or point of sale systems.","25172598 job category administrative location le m ridien cairo airport, cairo international airport, cairo, egypt, egypt, schedule full time located remotely? n position type non management position summary enter and retrieve information contained in computer databases using a keyboard, mouse, or trackball to update records, files, reservations, and answer inquiries from guests. transmit information or documents using a computer, mail, or facsimile machine. operate standard office equipment other than computers. prepare letters, memos, and other documents using word processing, spreadsheet, database, or presentation software. handle incoming and outgoing mail, including date stamping and distributing incoming mail. create and maintain computer and paper based filing and organization systems for records, reports, documents, etc. compile, copy, sort, and file records of office activities, business transactions, and other activities. enter and locate work related information using computers and/or point of sale systems. ",0,not specified,"['erp system', 'database', 'pos system', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment']",['organization'],9,"['erp system', 'database', 'pos system', 'filing', 'spreadsheet', 'word', 'm office', 'office equipment', 'organization']",https://www.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4318887702?skipRedirect=true&locale=en_US,Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
sales assistant | ikea | cairo festival city,Administrative,Full-time,Mid-Senior level,3 weeks ago,Motor Vehicle Manufacturing,"maintain contact with customers regarding new or interesting items and follow up on quotations to convert to sales. encourage the team to meet customer needs and improve service. promote product sales by seizing sales opportunities and suggesting solutions and add on sales. suggest improvements to sales strategies and identify slow moving items for action. maintain full product displays using company merchandising methods. be an expert on the product range within the department. stay informed about market developments, including advertising, promotions, and market visits. keep the sales manager informed about customer feedback and product range gaps. proactivity sales driven approach what qualifies you for the role secondary education minimum of 3 years in a similar role proactivity and sales driven approach good command of english language preferred: good command of arabic","overview of the role the retail sales representative is responsible for establishing rapport and credibility with customers to assist them in purchasing products, ensuring a high standard of merchandising, and maintaining stock to achieve sales targets. the role involves daily inspections of the sales area, customer engagement, stock management, and the development of customer relationships to enhance sales performance. success is determined by the ability to exceed expectations and uphold ikea's values.","overview of the role the retail sales representative is responsible for establishing rapport and credibility with customers to assist them in purchasing products, ensuring a high standard of merchandising, and maintaining stock to achieve sales targets. the role involves daily inspections of the sales area, customer engagement, stock management, and the development of customer relationships to enhance sales performance. success is determined by the ability to exceed expectations and uphold ikea's values. maintain contact with customers regarding new or interesting items and follow up on quotations to convert to sales. encourage the team to meet customer needs and improve service. promote product sales by seizing sales opportunities and suggesting solutions and add on sales. suggest improvements to sales strategies and identify slow moving items for action. maintain full product displays using company merchandising methods. be an expert on the product range within the department. stay informed about market developments, including advertising, promotions, and market visits. keep the sales manager informed about customer feedback and product range gaps. proactivity sales driven approach what qualifies you for the role secondary education minimum of 3 years in a similar role proactivity and sales driven approach good command of english language preferred: good command of arabic",0,not specified,"['english', 'excel', 'merchandising', 'data management']","['time management', 'proactivity']",6,"['english', 'excel', 'merchandising', 'data management', 'time management', 'proactivity']",https://www.linkedin.com/jobs/view/sales-assistant-ikea-cairo-festival-city-at-al-futtaim-automotive-4331118851?skipRedirect=true&locale=en_US,Al-Futtaim Automotive,https://ae.linkedin.com/company/alfuttaimautomotive?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
relationship officer  business banking,Other,Full-time,Entry level,3 weeks ago,Banking,"program overview: sme s credit course frankfurt certified technical trainings structured learning and mentorship from experienced banking professionals. exposure to real life business banking cases and client interactions. a dynamic, innovative, and inclusive work environment that supports career growth and development. fresh graduates holding a bachelor s degree in business administration, economics, finance, accounting, or related fields. passion for learning and pursuing a long term career in business banking. job description: monitoring closely the day to day work and solving the client s problems. coordinate with credit analysis department in preparing credit proposal memos cpm s that present the proposed facility package and the associated terms and conditions that ensure all credit risks are addressed in the cpm. follow up the implementation of the cpm till the assets are booked including fulfillment of all requested documents, collaterals, and conditions precedent through coordination between branches and credit analysis department coordinate in preparation of cpms and ensuring that they are designed with the appropriate requested facility package and to ensure all credit risks are addressed in the cpm. address any deviation of approved package or any risks emerged before conducting the regular annual review under advice and review of credit analysis department making sure to read and review all instruction memos and circulars to be aware of all procedures, rules regulations related to business","emirates nbd egypt is proud to introduce the business banking academy, a specialized development program designed to prepare and empower future business banking professionals.","emirates nbd egypt is proud to introduce the business banking academy, a specialized development program designed to prepare and empower future business banking professionals. program overview: sme s credit course frankfurt certified technical trainings structured learning and mentorship from experienced banking professionals. exposure to real life business banking cases and client interactions. a dynamic, innovative, and inclusive work environment that supports career growth and development. fresh graduates holding a bachelor s degree in business administration, economics, finance, accounting, or related fields. passion for learning and pursuing a long term career in business banking. job description: monitoring closely the day to day work and solving the client s problems. coordinate with credit analysis department in preparing credit proposal memos cpm s that present the proposed facility package and the associated terms and conditions that ensure all credit risks are addressed in the cpm. follow up the implementation of the cpm till the assets are booked including fulfillment of all requested documents, collaterals, and conditions precedent through coordination between branches and credit analysis department coordinate in preparation of cpms and ensuring that they are designed with the appropriate requested facility package and to ensure all credit risks are addressed in the cpm. address any deviation of approved package or any risks emerged before conducting the regular annual review under advice and review of credit analysis department making sure to read and review all instruction memos and circulars to be aware of all procedures, rules regulations related to business",0,bachelor,"['cost accounting', 'it support', 'accounting', 'frontend development']","['learning', 'support', 'client interaction']",7,"['cost accounting', 'it support', 'accounting', 'frontend development', 'learning', 'support', 'client interaction']",https://www.linkedin.com/jobs/view/relationship-officer-business-banking-at-emirates-nbd-4316421092?skipRedirect=true&locale=en_US,Emirates NBD,https://ae.linkedin.com/company/emirates-nbd?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
document controller,Other,Full-time,Associate,1 week ago,"Appliances, Electrical, and Electronics Manufacturing and Industrial Machinery Manufacturing","keeping work organized by establishing, organizing and archiving files, memos and data by creating databases.","professional experience required support in document controlling of the department. keep track of inbound and outbound documents, requests and tasks. drafting routine legal documents using previously approved clauses and forms with an escalation mechanism in case of extensive markup.","professional experience required support in document controlling of the department. keep track of inbound and outbound documents, requests and tasks. drafting routine legal documents using previously approved clauses and forms with an escalation mechanism in case of extensive markup. keeping work organized by establishing, organizing and archiving files, memos and data by creating databases.",0,not specified,"['database', 'it support']",['support'],3,"['database', 'it support', 'support']",https://www.linkedin.com/jobs/view/document-controller-at-elsewedy-electric-4333936111?skipRedirect=true&locale=en_US,ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
guest relations officer  sofitel nile downtown,IT,Full-time,Entry level,4 days ago,Hospitality,"proven work experience as a guest relations officer or similar role strong knowledge of customer service principles and practices ability to handle stressful situations with a positive attitude degree in hospitality management or relevant field is preferred service focused personality is essential; experience is an asset prior experience working with opera or a related system fluency in english; additional languages are a plus our commitment to diversity inclusion we are an inclusive company and our ambition is to attract, recruit and promote diverse talent.","company description join us at accor, where life pulses with passion! as a pioneer in the art of responsible hospitality, the accor group gathers more than 45 brands, 5,600 hotels, 10,000 restaurants, and lifestyle destinations in 110 countries. while each brand has its own personality, where you will be able to truly find yourself, they all share a common ambition: to keep innovating and challenging the status quo. by joining us, you will become a heartist , because hospitality is, first and foremost, a work of heart. you will join a caring environment and a team where you can be all you are. you will be in a supportive place to grow, to fulfil yourself, to discover other professions and to pursue career opportunities, in your hotel or in other hospitality environments, in your country or anywhere in the world! you will enjoy exclusive benefits, specific to the sector and beyond, as well as strong recognition for your daily commitment. everything you will do with us, regardless of your profession, will offer a deep sense of meaning, to create lasting, memorable and impactful experiences for your customers, for your colleagues and for the planet. hospitality is a work of heart , us and become heartist . job description greet guests upon their arrival and provide them with information about the hotel and the surrounding area manage and handle guest check ins and check outs resolve any guest complaints or issues in a professional and timely manner coordinate with other departments such as housekeeping, food and beverage, and maintenance to meet guests needs provide information and assistance about facilities, services, and local attractions make room reservations and handle special requests, like room upgrades or special celebrations monitor guest satisfaction and gather feedback to improve services ensure compliance with health, safety, and hygiene standards process payments and maintain accurate records of all transactions follow up with guests to ensure their satisfaction after their stay","company description join us at accor, where life pulses with passion! as a pioneer in the art of responsible hospitality, the accor group gathers more than 45 brands, 5,600 hotels, 10,000 restaurants, and lifestyle destinations in 110 countries. while each brand has its own personality, where you will be able to truly find yourself, they all share a common ambition: to keep innovating and challenging the status quo. by joining us, you will become a heartist , because hospitality is, first and foremost, a work of heart. you will join a caring environment and a team where you can be all you are. you will be in a supportive place to grow, to fulfil yourself, to discover other professions and to pursue career opportunities, in your hotel or in other hospitality environments, in your country or anywhere in the world! you will enjoy exclusive benefits, specific to the sector and beyond, as well as strong recognition for your daily commitment. everything you will do with us, regardless of your profession, will offer a deep sense of meaning, to create lasting, memorable and impactful experiences for your customers, for your colleagues and for the planet. hospitality is a work of heart , us and become heartist . job description greet guests upon their arrival and provide them with information about the hotel and the surrounding area manage and handle guest check ins and check outs resolve any guest complaints or issues in a professional and timely manner coordinate with other departments such as housekeeping, food and beverage, and maintenance to meet guests needs provide information and assistance about facilities, services, and local attractions make room reservations and handle special requests, like room upgrades or special celebrations monitor guest satisfaction and gather feedback to improve services ensure compliance with health, safety, and hygiene standards process payments and maintain accurate records of all transactions follow up with guests to ensure their satisfaction after their stay proven work experience as a guest relations officer or similar role strong knowledge of customer service principles and practices ability to handle stressful situations with a positive attitude degree in hospitality management or relevant field is preferred service focused personality is essential; experience is an asset prior experience working with opera or a related system fluency in english; additional languages are a plus our commitment to diversity inclusion we are an inclusive company and our ambition is to attract, recruit and promote diverse talent.",0,not specified,"['erp system', 'english', 'excel', 'oracle', 'data management', 'it support', 'm office']","['time management', 'positive attitude', 'support', 'customer service']",11,"['erp system', 'english', 'excel', 'oracle', 'data management', 'it support', 'm office', 'time management', 'positive attitude', 'support', 'customer service']",https://www.linkedin.com/jobs/view/guest-relations-officer-sofitel-nile-downtown-at-accor-4321558108?skipRedirect=true&locale=en_US,Accor,https://fr.linkedin.com/company/accor?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
quality assurance junior engineer,Engineering,Full-time,Mid-Senior level,3 weeks ago,Nanotechnology Research,"1 2 years of experience in testing, experience in post man, swagger, sql and oracle database, intellij, jmeter, android studio, appium, eclipse. hands on experience in appium and rest assured. background in performance and load test owasp knowledge fintech background, pci compliance is a plus","as a quality assurance junior engineer, you will play a vital role in ensuring the quality and reliability of our software products. you will be responsible for planning and executing tests on features of simple to moderate complexity, identifying and reporting defects, and communicating test results to cross functional stakeholders. your work will contribute to maintaining high standards of software quality, enhancing user satisfaction, and supporting the overall success of our development projects. collaborate with senior squad members and functions to ensure alignment on project goals and decision making develop comprehensive test cases for well defined features to ensure thorough validation. identify, document, and prioritize defects or issues found during testing to ensure time resolutions detect bugs and create detailed reports so they can be investigated and resolved by the development team. plan and execute testing on features of simple to moderate complexity and report status to cross functional stakeholders including a basic understanding of quality risks to ensure and maintain project transparency and decision making create and maintain automated test scripts to streamline the testing process and improve efficiency. perform regression testing to confirm that previously developed and tested software continues to function correctly after modifications and updates.","as a quality assurance junior engineer, you will play a vital role in ensuring the quality and reliability of our software products. you will be responsible for planning and executing tests on features of simple to moderate complexity, identifying and reporting defects, and communicating test results to cross functional stakeholders. your work will contribute to maintaining high standards of software quality, enhancing user satisfaction, and supporting the overall success of our development projects. collaborate with senior squad members and functions to ensure alignment on project goals and decision making develop comprehensive test cases for well defined features to ensure thorough validation. identify, document, and prioritize defects or issues found during testing to ensure time resolutions detect bugs and create detailed reports so they can be investigated and resolved by the development team. plan and execute testing on features of simple to moderate complexity and report status to cross functional stakeholders including a basic understanding of quality risks to ensure and maintain project transparency and decision making create and maintain automated test scripts to streamline the testing process and improve efficiency. perform regression testing to confirm that previously developed and tested software continues to function correctly after modifications and updates. 1 2 years of experience in testing, experience in post man, swagger, sql and oracle database, intellij, jmeter, android studio, appium, eclipse. hands on experience in appium and rest assured. background in performance and load test owasp knowledge fintech background, pci compliance is a plus",2,not specified,"['oracle', 'database', 'it support', 'test case', 'quality assurance', 'reporting']","['support', 'communication']",8,"['oracle', 'database', 'it support', 'test case', 'quality assurance', 'reporting', 'support', 'communication']",https://www.linkedin.com/jobs/view/quality-assurance-junior-engineer-at-al-ahly-momkn-4316409408?skipRedirect=true&locale=en_US,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
admin officer  cai,Administrative,Full-time,Mid-Senior level,1 week ago,Airlines and Aviation,"control expenditure on damage baggage replacement and lost baggage claims. delegate some of the baggage claims processing to the supervisors/asas, to ensure all of the baggage services aspects are processed effectively and in a timely manner. assist the airport services manager in preparing and maintaining the staff duty roster and in preparing the staff annual leave plan as necessary and ensure staffing levels are optimised. qualification a working knowledge of reservations/fares and ticketing, departure control systems. knowledge of dangerous goods regulations weight balance. knowledge of baggage tracing and claims handling. knowledge of microsoft word/ e mail / excel advantageous and local languages. fluency in spoken and written english and required local language. minimum `a' level or equivalent higher secondary school . must have completed relevant and recognised professional training courses in customer services and ground operations. must have the right to live and work in egypt salary benefits competitive salary","job purpose ensure a safe, efficient, cost effective and timely airport operation so that emirates? image, reputation and customer service levels are maintained and enhanced, as per the criteria set forth by the company?s commercial, safety and security policies, standards and procedures. plan, organise and control all aspects of the overall operation including effective co ordination of all internal and external departments such as handling agents, caterers, other airlines, and various authorities at the airport, to ensure customers are provided with a high level of service. manage and supervise staff on duty ensuring that the relevant areas of the operation are fully covered and assume responsibility for running of the station during the absences of the airport services manager analyse anticipated operational problems such as overbookings, adverse weather conditions, delays, cancellation of flights, crew flight time limitations etc., undertaking necessary remedial action to ensure disruptions are minimised and the customer service levels are not impacted.","job purpose ensure a safe, efficient, cost effective and timely airport operation so that emirates? image, reputation and customer service levels are maintained and enhanced, as per the criteria set forth by the company?s commercial, safety and security policies, standards and procedures. plan, organise and control all aspects of the overall operation including effective co ordination of all internal and external departments such as handling agents, caterers, other airlines, and various authorities at the airport, to ensure customers are provided with a high level of service. manage and supervise staff on duty ensuring that the relevant areas of the operation are fully covered and assume responsibility for running of the station during the absences of the airport services manager analyse anticipated operational problems such as overbookings, adverse weather conditions, delays, cancellation of flights, crew flight time limitations etc., undertaking necessary remedial action to ensure disruptions are minimised and the customer service levels are not impacted. control expenditure on damage baggage replacement and lost baggage claims. delegate some of the baggage claims processing to the supervisors/asas, to ensure all of the baggage services aspects are processed effectively and in a timely manner. assist the airport services manager in preparing and maintaining the staff duty roster and in preparing the staff annual leave plan as necessary and ensure staffing levels are optimised. qualification a working knowledge of reservations/fares and ticketing, departure control systems. knowledge of dangerous goods regulations weight balance. knowledge of baggage tracing and claims handling. knowledge of microsoft word/ e mail / excel advantageous and local languages. fluency in spoken and written english and required local language. minimum `a' level or equivalent higher secondary school . must have completed relevant and recognised professional training courses in customer services and ground operations. must have the right to live and work in egypt salary benefits competitive salary",0,not specified,"['erp system', 'english', 'excel', 'pos system', 'word']",['customer service'],6,"['erp system', 'english', 'excel', 'pos system', 'word', 'customer service']",https://www.linkedin.com/jobs/view/admin-officer-cai-at-emirates-4338080102?skipRedirect=true&locale=en_US,Emirates,https://ae.linkedin.com/company/emirates?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
showroom receptionist,Administrative,Full-time,Entry level,1 week ago,Motor Vehicle Manufacturing,high school diploma or relevant work experience ability to maintain a positive attitude,, high school diploma or relevant work experience ability to maintain a positive attitude,0,diploma,[],['positive attitude'],1,['positive attitude'],https://www.linkedin.com/jobs/view/showroom-receptionist-at-al-mansour-automotive-4337921401?skipRedirect=true&locale=en_US,Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_topcard-org-name,"El Sheikh Zaid, Al Jizah, Egypt"
customer service specialist  real estate,Customer Service,Full-time,Entry level,2 days ago,Real Estate,"bachelor s degree in business administration, commerce, or a related field. 0 2 years of experience in customer service, preferably within real estate, banking, or property management. high attention to detail and accuracy in reviewing financial and contractual documents. proficiency in ms office especially excel and outlook ; familiarity with crm systems is a plus. excellent command of english and arabic spoken and written .",," bachelor s degree in business administration, commerce, or a related field. 0 2 years of experience in customer service, preferably within real estate, banking, or property management. high attention to detail and accuracy in reviewing financial and contractual documents. proficiency in ms office especially excel and outlook ; familiarity with crm systems is a plus. excellent command of english and arabic spoken and written .",2,bachelor,"['erp system', 'english', 'excel', 'data management', 'crm', 'outlook', 'm office']","['time management', 'accuracy', 'customer service', 'attention to detail']",11,"['erp system', 'english', 'excel', 'data management', 'crm', 'outlook', 'm office', 'time management', 'accuracy', 'customer service', 'attention to detail']",https://www.linkedin.com/jobs/view/customer-service-specialist-real-estate-at-talaat-moustafa-group-4335814271?skipRedirect=true&locale=en_US,Talaat Moustafa Group,https://eg.linkedin.com/company/talaatmoustafagroup?trk=public_jobs_topcard-org-name,"New Cairo, Cairo, Egypt"
leasing manager,Sales,Full-time,Mid-Senior level,2 days ago,"Real Estate, Facilities Services, and Spectator Sports","propose marketing plan for the existing tenants to better increase traffic inside their areas whether through social media, sms campaigns etc. that will drive revenues support tenants in his sales. work on a leasing plan for the new clubs that will be opening during the year. revisit the complaints received through the customer service club managers to reassess the continuity of the brand among all clubs in the renewal process. direct any opportunity for the clubs whether open days or ads inside clubs to the concerned entity to increase revenues for our partners consequently to the business. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty. educational background and previous experience: suitable bachelor s degree. 9 10 years of experience in the same field. teamwork. multitasking.",," propose marketing plan for the existing tenants to better increase traffic inside their areas whether through social media, sms campaigns etc. that will drive revenues support tenants in his sales. work on a leasing plan for the new clubs that will be opening during the year. revisit the complaints received through the customer service club managers to reassess the continuity of the brand among all clubs in the renewal process. direct any opportunity for the clubs whether open days or ads inside clubs to the concerned entity to increase revenues for our partners consequently to the business. perform any additional tasks that might be necessary for easier workflow, within the main frame of the job s specialty. educational background and previous experience: suitable bachelor s degree. 9 10 years of experience in the same field. teamwork. multitasking.",10,bachelor,['it support'],"['support', 'teamwork', 'customer service', 'multitasking']",5,"['it support', 'support', 'teamwork', 'customer service', 'multitasking']",https://www.linkedin.com/jobs/view/leasing-manager-at-wadi-degla-clubs-company-s-a-e-4340250336?skipRedirect=true&locale=en_US,Wadi Degla Clubs Company S.A.E.,https://eg.linkedin.com/company/wadi-degla-clubs-company-s-a-e?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
it support specialist,IT,Full-time,Mid-Senior level,3 days ago,IT Services and IT Consulting,"ability to write user instructions and maintain documentation. english level: upper intermediate b2 good to have: strong customer service orientation and patience when dealing with users. ability to prioritize tasks and work under pressure. experience with active directory, user account management, and access rights. our work environment culture: at group ib, we believe that employee happiness is fundamental to success. we foster a supportive, inclusive, and dynamic workplace where every team member is empowered to grow. whether you re aiming to deepen your expertise, step into leadership, explore new departments, or take your career abroad, we provide diverse opportunities for professional development. our team is made up of specialists from around the world who bring deep international expertise and thrive on solving complex challenges. you ll be working with cutting edge technologies recognized globally by gartner, idc, and forrester, and contributing to projects that span across 60 countries alongside 450 partners and 500 clients. we take pride in our multicultural, values driven culture where mutual respect, collaboration, and shared goals unite us across borders. and with group ib s continued global growth and financial stability, your career trajectory here can accelerate faster than in most traditional environments. what do we offer : flexible work schedule we don t believe in fixed hours what matters is impact, not time spent. you have the freedom to design your own workday in a way that drives results and balance. comprehensive health coverage your well being comes first. we offer health insurance to support you when it matters most. certifications continuous learning our team holds over 1,000 globally recognized certifications, including ceh, cissp, oscp, and more. through our incentive program, we cover the cost of professional development because your growth fuels our innovation. meaningful challenges growth paths entrepreneurial spirit is encouraged we value initiative. whether it s launching a tech blog, organizing events, building communities, or starting a sports team group ib is a place where bold ideas are supported and celebrated.","about group ib: founded in 2003 and headquartered in singapore, group ib is a leading creator of cybersecurity technologies to investigate, prevent, and fight digital crime. combating cybercrime is in the company s dna, shaping its technological capabilities to defend businesses, and citizens, and support law enforcement operations. group ib s digital crime resistance centers dcrcs are located in the middle east, europe, central asia, and asia pacific to help critically analyze and promptly mitigate regional and country specific threats. these mission critical units help group ib strengthen its contribution to global cybercrime prevention and continually expand its threat hunting capabilities. each of us can help make the world a safer place. join us! about the role: it support specialist role is very important in a company because it helps employees overcome technical issues and provides them with the necessary resources to perform their work effectively. your mission: receiving, assigning support requests, and collecting information about issues. troubleshooting computer and software issues. collaborating with the it team to resolve user problems. managing user accounts, access rights, and resources. providing user support, training, and clear technical guidance. writing user instructions and documentation. what success looks like: experience as an it support specialist, helpdesk technician, or similar role 2 years strong knowledge of computer hardware, operating systems windows, macos and common office software. understanding of networks lan/wan , wi fi, vpn, and basic troubleshooting. understanding of it security practices antivirus, updates, backups .","about group ib: founded in 2003 and headquartered in singapore, group ib is a leading creator of cybersecurity technologies to investigate, prevent, and fight digital crime. combating cybercrime is in the company s dna, shaping its technological capabilities to defend businesses, and citizens, and support law enforcement operations. group ib s digital crime resistance centers dcrcs are located in the middle east, europe, central asia, and asia pacific to help critically analyze and promptly mitigate regional and country specific threats. these mission critical units help group ib strengthen its contribution to global cybercrime prevention and continually expand its threat hunting capabilities. each of us can help make the world a safer place. join us! about the role: it support specialist role is very important in a company because it helps employees overcome technical issues and provides them with the necessary resources to perform their work effectively. your mission: receiving, assigning support requests, and collecting information about issues. troubleshooting computer and software issues. collaborating with the it team to resolve user problems. managing user accounts, access rights, and resources. providing user support, training, and clear technical guidance. writing user instructions and documentation. what success looks like: experience as an it support specialist, helpdesk technician, or similar role 2 years strong knowledge of computer hardware, operating systems windows, macos and common office software. understanding of networks lan/wan , wi fi, vpn, and basic troubleshooting. understanding of it security practices antivirus, updates, backups . ability to write user instructions and maintain documentation. english level: upper intermediate b2 good to have: strong customer service orientation and patience when dealing with users. ability to prioritize tasks and work under pressure. experience with active directory, user account management, and access rights. our work environment culture: at group ib, we believe that employee happiness is fundamental to success. we foster a supportive, inclusive, and dynamic workplace where every team member is empowered to grow. whether you re aiming to deepen your expertise, step into leadership, explore new departments, or take your career abroad, we provide diverse opportunities for professional development. our team is made up of specialists from around the world who bring deep international expertise and thrive on solving complex challenges. you ll be working with cutting edge technologies recognized globally by gartner, idc, and forrester, and contributing to projects that span across 60 countries alongside 450 partners and 500 clients. we take pride in our multicultural, values driven culture where mutual respect, collaboration, and shared goals unite us across borders. and with group ib s continued global growth and financial stability, your career trajectory here can accelerate faster than in most traditional environments. what do we offer : flexible work schedule we don t believe in fixed hours what matters is impact, not time spent. you have the freedom to design your own workday in a way that drives results and balance. comprehensive health coverage your well being comes first. we offer health insurance to support you when it matters most. certifications continuous learning our team holds over 1,000 globally recognized certifications, including ceh, cissp, oscp, and more. through our incentive program, we cover the cost of professional development because your growth fuels our innovation. meaningful challenges growth paths entrepreneurial spirit is encouraged we value initiative. whether it s launching a tech blog, organizing events, building communities, or starting a sports team group ib is a place where bold ideas are supported and celebrated.",2,mba,"['english', 'troubleshooting', 'data management', 'account manager', 'it support', 'filing', 'm office']","['collaboration', 'customer service', 'time management', 'learning', 'support', 'leadership']",13,"['english', 'troubleshooting', 'data management', 'account manager', 'it support', 'filing', 'm office', 'collaboration', 'customer service', 'time management', 'learning', 'support', 'leadership']",https://www.linkedin.com/jobs/view/it-support-specialist-at-group-ib-4340092022?skipRedirect=true&locale=en_US,Group-IB,https://sg.linkedin.com/company/group-ib?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
site civil engineer,Engineering,Full-time,Mid-Senior level,3 weeks ago,"Appliances, Electrical, and Electronics Manufacturing",,"monitoring progress of the project overseeing the running operations of the site making sure that it will meet the deadline. day to day management of the site, including supervising and monitoring the site labor force providing technical advice and solving problems on site preparing site reports and filling in other paperwork managing relationships with projects of different consultants. planning and coordinating site works with other disciplines. reviewing adjusting shop drawings suggest process and technical design changes improve performance and efficiency. checking of documents including review for compliance with applicable codes, standards, and company procedures.","monitoring progress of the project overseeing the running operations of the site making sure that it will meet the deadline. day to day management of the site, including supervising and monitoring the site labor force providing technical advice and solving problems on site preparing site reports and filling in other paperwork managing relationships with projects of different consultants. planning and coordinating site works with other disciplines. reviewing adjusting shop drawings suggest process and technical design changes improve performance and efficiency. checking of documents including review for compliance with applicable codes, standards, and company procedures. ",0,not specified,"['filing', 'data management']",['discipline'],3,"['filing', 'data management', 'discipline']",https://www.linkedin.com/jobs/view/site-civil-engineer-at-elsewedy-electric-4316931267?skipRedirect=true&locale=en_US,ELSEWEDY ELECTRIC,https://eg.linkedin.com/company/elsewedyelectric?trk=public_jobs_topcard-org-name,"North Sinai, Egypt"
accountant,Finance,Full-time,Associate,3 days ago,"Food and Beverage Manufacturing, Financial Services, and Accounting","prior experience as an accounts receivable ar accountant is mandatory. strong knowledge and hands on experience with sap is essential. 3 5 years of accounting experience , preferably in a similar role. , as most of the team operates in english. location: the greek campus, downtown, cairo.","baladna food industries is a leading name in the food and beverage sector, committed to delivering quality products and exceptional service. we are looking for a skilled accountant , accounts receivable to join our dynamic finance team in our dedicated team in cairo, egypt!","baladna food industries is a leading name in the food and beverage sector, committed to delivering quality products and exceptional service. we are looking for a skilled accountant , accounts receivable to join our dynamic finance team in our dedicated team in cairo, egypt! prior experience as an accounts receivable ar accountant is mandatory. strong knowledge and hands on experience with sap is essential. 3 5 years of accounting experience , preferably in a similar role. , as most of the team operates in english. location: the greek campus, downtown, cairo.",5,not specified,"['english', 'excel', 'cost accounting', 'sap', 'account receivable', 'accounting']",[],6,"['english', 'excel', 'cost accounting', 'sap', 'account receivable', 'accounting']",https://www.linkedin.com/jobs/view/accountant-at-baladna-food-industries-4340073672?skipRedirect=true&locale=en_US,Baladna Food Industries,https://qa.linkedin.com/company/baladna-dairy?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
